Source	Target	num_triplets	ENVs	SignPattern	Overlap	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_SP_OL_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV	presence_X	presence_Y	presence_X_AND_Y	presence_X_OR_Y	percentage_co_occurrence
bn_ASV_000367	bp_ASV_000222	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;82.500000	0.418224	0.044517;0.069504	-0.373708;-0.348721	0.085914;0.028971	3.000000;2.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	43	42	31	54	57.407407
bn_ASV_000367	ep_ASV_00350	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.341504	0.081855;0.075416	-0.259649;-0.266089	0.325674;0.047952	2.000000;2.000000	1.000000;1.000000	0	2	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	46	32	57	56.140351
bn_ASV_000367	en_ASV_00879	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	98.319328;100.000000	0.571099	0.753831;0.046317	0.182732;-0.524782	nan;0.011988	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	41	33	51	64.705882
bn_ASV_000367	bp_ASV_000271	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;96.666667	0.552680	0.038913;0.073833	-0.513768;-0.478847	0.162837;0.267732	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	41	32	52	61.538462
bn_ASV_000367	bp_ASV_000333	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.426622	0.009064;0.055617	-0.417558;-0.371006	0.096903;0.005994	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	41	28	56	50.000000
bn_ASV_000367	ep_ASV_00364	1	ENV_Temp	0.000000	100.000000	0.506946	0.024317	-0.482629	0.036963	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	41	33	51	64.705882
bn_ASV_000367	en_ASV_00406	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.477600	0.626842;0.052485	0.149242;-0.425115	nan;0.131868	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	39	31	51	60.784314
bn_ASV_000367	bp_ASV_000306	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.541908	-0.037062;0.022770	-0.578971;-0.519138	0.092907;0.226773	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	39	30	52	57.692308
bn_ASV_000367	bp_ASV_000279	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.494084	0.709235;0.013350	0.215151;-0.480734	nan;0.002997	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	39	30	52	57.692308
bn_ASV_000367	bp_ASV_000462	1	ENV_Temp	0.000000	79.245283	0.480300	0.031407	-0.448893	0.007992	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	39	29	53	54.716981
bn_ASV_000367	bp_ASV_000302	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.587341	-0.017138;-0.000822	-0.604479;-0.588163	0.080919;0.154845	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	38	31	50	62.000000
