Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_1270_16S_022_3	ASV_2093_16S_022_3	0.924889892023781	0.541334	0	100
ASV_128_16S_022_3	ASV_238_16S_022_3	0.738723266670667	0.889797	0	76.470588
ASV_128_16S_022_3	ASV_910_16S_3_200	-0.812537074585303	0.492359	0	4.545455
ASV_1287_16S_022_3	ASV_1676_16S_022_3	0.584773055231952	0.6704	0	85.714286
ASV_1287_16S_022_3	ASV_1894_16S_022_3	0.603208955196649	0.615243	0	75
ASV_1287_16S_3_200	OTU_1345_18S_3_200	0.93740523790582	0.589045	0	83.333333
ASV_1289_16S_022_3	ASV_1331_16S_022_3	0.682525098323822	0.591497	0	71.428571
ASV_1289_16S_022_3	ASV_1963_16S_3_200	0.592045664787292	0.569695	0	71.428571
ASV_1289_16S_022_3	OTU_2399_18S_022_3	0.726139545440674	0.483572	0	66.666667
ASV_129_16S_022_3	ASV_605_16S_022_3	0.59452711846925	0.722478	0	94.444444
ASV_13_16S_022_3	ASV_1124_16S_3_200	-0.773616998163312	0.403306	0	52.173913
ASV_13_16S_022_3	ASV_14_16S_022_3	0.670509357094355	0.617159	0	95.238095
ASV_13_16S_022_3	ASV_1480_16S_3_200	-0.572752141382222	0.45797	0	21.73913
ASV_13_16S_022_3	ASV_890_16S_022_3	-0.6678586602211	0.50058	0	56.521739
ASV_130_16S_022_3	ASV_331_16S_022_3	0.563628792762756	0.403391	0	60
ASV_130_16S_022_3	ASV_932_16S_022_3	0.534469187259674	0.462246	0	50
ASV_1305_16S_022_3	ASV_140_16S_3_200	-0.73802638053894	0.45899	0	52.173913
ASV_1305_16S_022_3	OTU_290_18S_3_200	-0.520031571388245	0.388481	0	39.130435
ASV_1307_16S_022_3	ASV_2093_16S_022_3	-0.569832558439584	0.577294	0	80
ASV_131_16S_022_3	ASV_164_16S_022_3	-0.61873	0.284976	0	91.304348
ASV_1310_16S_022_3	ASV_1577_16S_022_3	0.522406280040741	0.519532	0	66.666667
ASV_1310_16S_022_3	OTU_4154_18S_3_200	0.836496829986572	0.46177	0	80
ASV_1317_16S_022_3	ASV_1411_16S_022_3	0.545883893966675	0.677382	0	87.5
ASV_1317_16S_022_3	ASV_1563_16S_022_3	0.645255386829376	0.61962	0	87.5
ASV_132_16S_022_3	ASV_396_16S_022_3	0.530401753279096	0.691371	0	66.666667
ASV_132_16S_022_3	ASV_430_16S_022_3	0.63159167766571	0.521138	0	77.777778
ASV_132_16S_022_3	OTU_95_18S_022_3	-0.578445792198181	0.427992	0	39.130435
ASV_1320_16S_022_3	ASV_1507_16S_022_3	-0.537200450897217	0.562608	0	90
ASV_1322_16S_022_3	ASV_1332_16S_022_3	0.86992747415328	0.682767	0	71.428571
ASV_1322_16S_022_3	OTU_453_18S_3_200	0.605218291282654	0.469144	0	50
ASV_1328_16S_022_3	OTU_1397_18S_3_200	0.900013983249664	0.483572	0	80
ASV_1328_16S_022_3	OTU_1575_18S_022_3	0.68700510263443	0.509481	0	83.333333
ASV_1331_16S_022_3	ASV_1508_16S_022_3	0.674569627471276	0.567243	0	83.333333
ASV_1331_16S_022_3	ASV_1563_16S_022_3	0.611191346444275	0.554875	0	85.714286
ASV_1331_16S_022_3	ASV_1921_16S_022_3	0.599125990647291	0.728162	0	85.714286
ASV_1335_16S_022_3	ASV_1521_16S_022_3	0.842078506946564	0.298534	0	60
ASV_1335_16S_022_3	ASV_1769_16S_022_3	0.538623773309456	0.382205	0	57.142857
ASV_1335_16S_022_3	OTU_910_18S_022_3	0.818522208487157	0.276732	0	60
ASV_134_16S_022_3	ASV_1250_16S_3_200	0.574782848358154	0.636652	0	70
