Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2046_18S_3_200	OTU_3921_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2046_18S_3_200	OTU_6616_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2051_18S_022_3	OTU_889_18S_3_200	2	40	Eukaryota	Dinoflagellata	Eukaryota	Sagenista
OTU_2052_18S_022_3	OTU_2266_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Opalozoa
OTU_2052_18S_022_3	OTU_3745_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_2053_18S_022_3	OTU_1243_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Ochrophyta
OTU_2053_18S_022_3	OTU_38_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_206_18S_022_3	OTU_785_18S_022_3	1	20	Eukaryota	Katablepharidophyta	Eukaryota	Cercozoa
OTU_2067_18S_022_3	OTU_1445_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2067_18S_022_3	OTU_3749_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2080_18S_022_3	OTU_2144_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Pseudofungi
OTU_2080_18S_022_3	OTU_968_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Ochrophyta
OTU_2082_18S_022_3	OTU_1268_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Opalozoa
OTU_2083_18S_022_3	OTU_1067_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2083_18S_022_3	OTU_2979_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2083_18S_022_3	OTU_4111_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_2083_18S_3_200	OTU_2325_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2083_18S_3_200	OTU_3605_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Opalozoa
OTU_2089_18S_022_3	OTU_477_18S_3_200	1	20	Eukaryota	Picozoa	Eukaryota	Sagenista
OTU_2091_18S_3_200	OTU_2928_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2092_18S_022_3	OTU_2527_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Opalozoa
OTU_2092_18S_022_3	OTU_3569_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Opalozoa
OTU_2092_18S_022_3	OTU_3729_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_2099_18S_022_3	OTU_1013_18S_3_200	1	20	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_2099_18S_022_3	OTU_819_18S_3_200	1	20	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_21_18S_3_200	OTU_5052_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2139_18S_022_3	OTU_2859_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Centroheliozoa
OTU_2139_18S_022_3	OTU_835_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2139_18S_3_200	OTU_2550_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Choanoflagellida
OTU_2145_18S_022_3	OTU_3121_18S_022_3	3	60	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_215_18S_3_200	OTU_1833_18S_3_200	3	60	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_215_18S_3_200	OTU_528_18S_3_200	2	40	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2150_18S_022_3	OTU_5190_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2150_18S_022_3	OTU_5463_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2152_18S_022_3	OTU_2350_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2152_18S_022_3	OTU_2359_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2152_18S_022_3	OTU_2656_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2152_18S_022_3	OTU_2724_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2152_18S_022_3	OTU_3074_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2152_18S_022_3	OTU_5108_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Chlorophyta
OTU_2153_18S_022_3	OTU_2298_18S_022_3	3	60	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2153_18S_3_200	OTU_4889_18S_3_200	1	20	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_216_18S_022_3	OTU_216_18S_3_200	3	60	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_2166_18S_022_3	OTU_2285_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Telonemia
OTU_2166_18S_022_3	OTU_2859_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Centroheliozoa
OTU_2166_18S_022_3	OTU_5279_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
