Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2715_18S_022_3	OTU_7609_18S_022_3	2	25	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_2718_18S_022_3	OTU_6493_18S_022_3	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Opalozoa
OTU_2719_18S_022_3	OTU_3898_18S_022_3	3	37.5	Eukaryota	Lobosa	Eukaryota	Ochrophyta
OTU_272_18S_022_3	ASV_1617_16S_3_200	1	12.5	Eukaryota	Dinoflagellata	Bacteria	Bacteroidota
OTU_272_18S_022_3	OTU_914_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_272_18S_3_200	OTU_1080_18S_3_200	5	62.5	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_272_18S_3_200	OTU_620_18S_3_200	5	62.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_272_18S_3_200	OTU_724_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2724_18S_022_3	OTU_2197_18S_3_200	3	37.5	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2724_18S_022_3	OTU_7006_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_273_18S_3_200	OTU_376_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Pseudofungi
OTU_2747_18S_022_3	OTU_1445_18S_3_200	4	50	Eukaryota	Centroheliozoa	Eukaryota	Dinoflagellata
OTU_2747_18S_022_3	OTU_1951_18S_3_200	2	25	Eukaryota	Centroheliozoa	Eukaryota	Ciliophora
OTU_2747_18S_022_3	OTU_2122_18S_3_200	3	37.5	Eukaryota	Centroheliozoa	Eukaryota	Ochrophyta
OTU_276_18S_022_3	OTU_3669_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_276_18S_022_3	OTU_4194_18S_022_3	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_2770_18S_022_3	OTU_1698_18S_3_200	3	37.5	Eukaryota	Choanoflagellida	Eukaryota	Radiolaria
OTU_2784_18S_3_200	OTU_3628_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Telonemia
OTU_2787_18S_022_3	OTU_1488_18S_3_200	2	25	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2787_18S_022_3	OTU_2975_18S_022_3	2	25	Eukaryota	Haptophyta	Eukaryota	Choanoflagellida
OTU_2791_18S_022_3	ASV_1408_16S_3_200	3	37.5	Eukaryota	Dinoflagellata	Bacteria	Bacteroidota
OTU_2791_18S_022_3	ASV_812_16S_3_200	1	12.5	Eukaryota	Dinoflagellata	Bacteria	Bacteroidota
OTU_28_18S_022_3	OTU_255_18S_022_3	8	100	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_28_18S_022_3	OTU_29_18S_022_3	8	100	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_28_18S_3_200	OTU_255_18S_3_200	6	75	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_28_18S_3_200	OTU_34_18S_3_200	6	75	Eukaryota	Cryptophyta	Eukaryota	Ochrophyta
OTU_282_18S_022_3	OTU_1060_18S_022_3	6	75	Eukaryota	Cercozoa	Eukaryota	Ochrophyta
OTU_2836_18S_3_200	OTU_5260_18S_3_200	2	25	Eukaryota	Choanoflagellida	Eukaryota	Dinoflagellata
OTU_284_18S_3_200	OTU_467_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2842_18S_022_3	OTU_3927_18S_022_3	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Haptophyta
OTU_2852_18S_022_3	OTU_4556_18S_022_3	2	25	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2853_18S_022_3	OTU_1523_18S_3_200	3	37.5	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2853_18S_022_3	OTU_3141_18S_022_3	3	37.5	Eukaryota	Cercozoa	Eukaryota	Haptophyta
OTU_2853_18S_022_3	OTU_5149_18S_022_3	3	37.5	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2859_18S_022_3	OTU_694_18S_3_200	2	25	Eukaryota	Centroheliozoa	Eukaryota	Haptophyta
