ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_491_16S_022_3	0	0	0	0	0	38	47	15	0	11	17	41	0	7	34	34	31	11	13	0	8	3	0
ASV_494_16S_022_3	0	0	0	0	0	0	0	69	119	92	0	43	91	137	0	18	18	41	125	43	63	63	82
ASV_495_16S_022_3	0	0	0	184	240	0	94	0	0	0	63	0	29	0	287	100	0	0	0	0	0	0	0
ASV_497_16S_022_3	0	0	0	0	0	0	0	256	167	48	0	0	120	253	0	0	7	73	183	0	55	9	0
ASV_499_16S_022_3	0	0	0	0	0	0	0	69	149	39	0	0	44	340	0	8	15	70	164	30	122	64	16
ASV_500_16S_022_3	0	0	0	0	0	0	0	77	0	0	376	395	0	0	0	55	75	62	48	0	0	0	0
ASV_501_16S_022_3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	22	15	50	4	7	0	0	0	0
ASV_502_16S_022_3	0	0	0	35	0	0	0	0	71	0	17	0	0	5	15	0	0	0	7	65	6	5	9
ASV_503_16S_022_3	0	0	0	0	0	0	0	74	99	153	0	38	57	228	16	28	22	29	80	40	106	96	39
ASV_504_16S_022_3	0	6	13	67	166	13	52	0	0	0	9	0	0	0	26	7	0	0	0	0	0	0	101
ASV_505_16S_022_3	0	13	2	0	0	0	14	62	48	0	11	123	91	173	24	26	43	169	148	74	73	0	24
ASV_506_16S_022_3	0	0	0	0	0	0	0	112	271	52	0	0	48	200	0	0	0	35	142	156	83	147	0
ASV_507_16S_022_3	0	0	0	0	0	0	0	121	74	82	38	221	47	222	65	81	27	90	121	67	148	0	0
ASV_512_16S_022_3	0	0	0	13	9	0	30	28	73	45	12	46	47	109	33	33	27	44	65	25	43	34	143
ASV_513_16S_022_3	0	0	0	0	0	0	0	0	0	0	37	47	13	17	0	0	0	0	0	22	35	7	17
ASV_515_16S_022_3	0	0	0	0	0	29	33	0	5	0	19	75	0	14	59	104	24	18	47	68	20	0	0
ASV_516_16S_022_3	0	0	0	0	7	49	15	0	0	32	0	42	16	0	97	17	40	16	100	71	114	0	0
ASV_517_16S_022_3	0	0	0	0	0	0	0	89	46	56	0	29	23	61	0	43	58	126	145	142	188	168	0
