ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
OTU_226_18S_022.3	0	0	0	0	0	0	0	111	0	0	0	0	105	73	0	901	0	116	78	0	0	0
OTU_227_18S_022.3	2969	1856	1009	996	212	2398	0	0	87	28	73	34	0	56	0	0	19	27	0	0	0	30
OTU_229_18S_022.3	0	455	957	824	67	739	26	0	2071	71	15	35	53	0	125	1101	0	13	0	0	0	286
OTU_234_18S_022.3	180	700	80	71	674	164	0	22	55	185	0	55	21	0	0	0	96	0	0	0	148	33
OTU_235_18S_022.3	0	43	0	0	0	20	0	0	39	46	0	341	27	0	0	0	0	68	757	0	0	0
OTU_236_18S_022.3	440	618	162	85	0	1279	0	0	0	0	0	144	81	81	0	223	156	0	0	118	130	60
OTU_239_18S_022.3	12313	31	305	37	0	484	0	47	28	0	161	118	0	0	0	0	0	109	0	0	0	0
OTU_241_18S_022.3	1175	626	462	1683	447	1696	288	27	230	91	64	106	118	42	58	87	31	125	95	113	181	156
OTU_243_18S_022.3	89	306	392	71	268	328	259	36	29	135	116	53	36	62	0	9	46	68	61	230	227	76
OTU_249_18S_022.3	55	55	18	137	32	294	0	47	0	0	125	0	0	0	0	33	0	0	32	19	0	0
OTU_250_18S_022.3	0	0	0	56	0	153	0	0	0	0	323	0	0	18	0	0	0	0	19	0	0	0
OTU_251_18S_022.3	645	610	0	261	15	661	0	53	0	0	0	64	0	0	0	0	45	0	0	0	0	0
OTU_252_18S_022.3	30	1794	7	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
OTU_253_18S_022.3	0	29	267	315	14	0	0	78	107	0	0	0	16	61	0	24	0	273	119	4	0	63
OTU_254_18S_022.3	0	0	0	142	80	76	0	0	204	562	0	0	0	151	0	0	76	0	0	0	462	0
