ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_61_18S	2438	3724	2017	1895	59	4855	0	344	378	277	236	132	324	275	86	306	323	0	33	612	86	0	18400
OTU_60_18S	155	34270	218	980	0	34	0	0	222	154	0	21	0	0	0	0	0	0	0	0	0	0	36054
OTU_58_18S	19	276	609	205	0	6	0	42	26	0	0	0	12	86	20	0	0	12	0	0	45	26	1384
OTU_67_18S	1927	1763	239	10532	3120	6572	5377	0	28	142	114	847	105	26	28	0	0	35	0	51	5201	0	36107
OTU_70_18S	37217	7226	558	311	126	389	0	0	0	189	0	100	0	214	0	0	0	0	53	71	0	0	46454
OTU_71_18S	1847	366	776	642	96	2167	708	510	115	257	242	235	251	0	1167	62	903	190	0	0	471	264	11269
OTU_72_18S	0	534	0	0	42	551	67	0	0	0	0	23	127	0	28	0	0	0	19	0	230	0	1621
OTU_74_18S	7633	994	1020	15709	67	1713	89	200	174	695	504	1032	36	0	106	142	238	959	424	100	1606	10	33451
OTU_76_18S	61	289	2600	410	32	2006	581	815	1739	169	878	80	444	6313	606	531	23	1001	73	1034	132	1090	20907
OTU_78_18S	2244	442	917	790	114	1931	190	720	413	107	58	135	181	101	116	1070	0	186	0	0	393	115	10223
OTU_79_18S	403	244	2431	1540	154	364	148	663	512	186	366	956	1719	3394	687	196	0	305	243	3248	1916	296	19971
OTU_82_18S	5212	95	86	2076	638	981	355	483	661	861	114	33	167	474	417	317	215	678	228	126	179	417	14813
OTU_86_18S	3698	7584	3158	3040	167	3573	309	291	533	943	694	222	106	36	73	541	702	321	100	79	748	96	27014
OTU_92_18S	404	186	184	2399	74	198	154	34	0	222	0	112	155	120	0	61	87	26	0	49	33	38	4536
OTU_93_18S	1416	1649	1622	467	277	1645	1090	2282	949	524	177	224	822	321	361	547	701	1306	68	1487	1565	805	20305
OTU_97_18S	1045	2827	188	2256	112	2816	107	194	173	237	724	202	52	0	32	575	205	271	36	91	55	45	12243
OTU_100_18S	9425	1635	1149	823	136	2347	583	190	914	427	808	782	177	165	199	298	288	712	607	358	697	928	23648
OTU_104_18S	4826	1250	207	1936	5758	4934	369	0	0	871	67	3405	302	55	0	24	721	55	183	150	153	0	25266
OTU_107_18S	480	982	52	7937	658	9577	0	0	0	186	0	0	0	41	0	224	0	0	0	0	0	52	20189
OTU_101_18S	0	0	2588	63	0	0	0	0	153	0	0	0	179	3564	234	0	0	0	0	722	210	483	8196
OTU_105_18S	867	119	4523	470	36	1292	799	789	469	0	166	27	340	0	453	906	29	45	62	411	1334	695	13832
OTU_96_18S	157	202	0	546	1647	75	0	0	0	1912	94	502	37	0	0	0	132	102	0	0	46	0	5452
OTU_110_18S	0	82	22	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	56	222
OTU_106_18S	10	18	46	159	789	0	0	70	0	55	0	0	15	0	0	26	0	0	0	0	0	0	1188
OTU_113_18S	3558	1765	80	6276	7296	5720	224	0	0	488	136	0	9	0	9	46	395	24	0	52	0	0	26078
OTU_114_18S	3160	3593	1416	2139	200	464	768	202	619	269	368	580	546	248	110	87	43	745	255	542	128	813	17295
OTU_117_18S	2182	277	123	9685	314	5702	0	0	0	424	197	239	0	0	0	40	209	79	0	0	62	0	19533
OTU_119_18S	560	353	88	555	51	607	97	74	59	46	34	181	79	17	43	43	31	198	43	105	21	85	3370
OTU_121_18S	2991	1344	1190	1642	126	3219	1593	44	983	767	218	617	130	81	292	319	502	502	24	414	522	1547	19067
OTU_127_18S	11	484	2465	4497	89	1625	253	503	289	0	0	54	64	172	82	61	13	147	66	326	83	97	11381
OTU_131_18S	0	0	0	65	781	0	0	0	98	517	0	0	0	0	0	0	0	0	0	0	0	0	1461
OTU_132_18S	5111	174	550	3447	119	11751	33	0	0	0	115	927	0	0	0	0	312	0	0	0	0	0	22539
OTU_133_18S	722	0	20	338	41	108	0	0	0	0	0	153	0	0	0	0	0	29	0	0	0	0	1411
OTU_139_18S	11142	173	1446	506	680	1440	676	727	893	298	528	54	317	0	0	9	19	298	125	7	842	11	20191
OTU_129_18S	488	466	235	0	23	69	0	0	138	109	0	118	57	0	48	38	24	0	0	0	81	28	1922
OTU_143_18S	2922	867	1362	3732	1329	1874	339	99	524	178	170	351	15	305	415	164	420	186	11	210	321	288	16082
OTU_137_18S	409	611	138	396	100	447	0	0	0	0	0	0	0	0	0	237	267	0	0	0	142	122	2869
OTU_144_18S	0	0	48	0	0	62	0	0	0	0	0	0	0	129	37	0	0	0	0	0	0	0	276
OTU_145_18S	2885	1812	1154	291	77	1549	340	110	464	630	366	636	279	492	127	265	241	67	146	398	223	484	13036
OTU_146_18S	5519	277	158	7301	234	1426	93	57	116	369	88	163	24	95	108	33	60	70	0	39	357	127	16714
OTU_147_18S	1240	289	1694	2287	118	7197	762	229	118	0	738	146	63	260	75	224	0	367	78	791	576	279	17531
OTU_148_18S	0	0	149	85	0	212	191	57	0	0	0	0	1397	25	0	0	0	0	244	206	138	0	2704
