ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
OTU_3448_18S	0	0	0	0	0	0	0	0	0	0	216	0	32	0	0	0	17	57	0	51	0	0	0	373
OTU_3382_18S	0	0	0	0	0	0	0	0	0	0	0	0	36	0	270	9	84	0	0	0	0	0	0	399
OTU_3704_18S	0	0	0	0	0	0	0	46	0	0	0	57	0	106	17	53	63	0	0	50	0	0	0	392
OTU_3738_18S	0	0	0	0	0	0	0	0	38	0	136	32	54	0	0	67	0	0	0	0	0	0	0	327
OTU_3755_18S	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	12	104	0	28	0	225
OTU_3773_18S	0	0	0	0	0	0	0	0	0	0	0	0	11	65	38	0	0	0	0	0	0	0	46	160
OTU_3782_18S	0	0	0	0	0	0	0	36	0	0	0	0	27	0	0	12	0	38	0	0	0	0	0	113
OTU_3563_18S	0	0	0	0	0	0	0	0	0	0	177	0	27	0	0	0	0	146	26	0	0	0	0	376
OTU_3811_18S	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	34	15	0	0	89	0	0	0	227
OTU_3823_18S	0	0	0	0	0	0	0	0	0	0	0	0	11	48	0	23	11	13	0	0	0	0	0	106
OTU_3625_18S	0	0	33	0	0	3	78	8	3	1	4	11	6	3	4	20	6	15	3	6	9	7	0	220
